start_time,end_time,name,car_id,car_name,shots,shots_against,goals,goals_against,saves,assists,score,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,mvp
0,588.68097,Iamyou,23,Octane,3,12,0,5,0,0,232,2790,2574,3037,3575,244.71,167.84,165.21,336.35,241.42,402.92,174.85,194.0,209.2,2.0,199.0,178.5,42.354958,28.594917,29.050123,58.215206,41.78479,69.73709,30.262907,34.719734,37.440044,35.614574,31.945736,False
0,315.94885,Jnxty,23,Octane,1,9,0,4,1,0,124,3140,3362,2939,3755,136.55,104.48,74.08,191.39,123.71,217.97,97.13,107.5,93.5,1.0,69.0,112.3,43.334072,23.509249,33.156673,60.739445,39.26055,69.174866,30.825134,35.713097,31.06209,22.922825,37.307728,False
0,220.617,[huiTre] tMd^,1568,Octane ZSR,0,4,0,4,0,0,110,2683,2556,2714,3759,112.89,58.57,46.94,151.46,66.93,142.58,75.81,103.4,104.3,1.0,108.9,99.0,51.689564,21.492674,26.817766,69.35299,30.647005,65.28687,34.713127,49.56855,50.0,52.205177,47.45925,False
0,404.6878,DangerousElit3,403,Dominus,2,11,1,2,2,1,433,3484,3778,3210,4068,231.35,124.14,42.8,308.36,89.93,267.21,131.07,160.9,118.0,1.0,107.1,160.0,58.08582,10.745939,31.168245,77.420975,22.579027,67.09099,32.90901,41.61386,30.518557,27.69947,41.381096,False
0,342.5558,bombardant,1018,Dominus GT,2,2,0,2,0,0,144,3137,3041,3326,3806,130.87,107.92,100.23,180.61,158.41,234.17,104.85,115.6,104.2,2.0,92.8,120.0,38.60244,29.564627,31.832928,53.27414,46.725853,69.072624,30.92738,34.977306,31.527988,28.078669,36.308624,False
0,383.1762,Ziaros,23,Octane,2,12,0,3,4,1,490,2648,2592,2700,3568,221.99,96.44,56.42,274.43,100.42,283.87,90.98,142.6,84.7,1.0,130.8,105.7,59.22102,15.051353,25.727625,73.210625,26.789385,75.72896,24.271042,39.054585,23.197218,35.822857,28.948593,False
0,368.1534,R E D,23,Octane,1,11,0,2,3,0,359,2845,2542,3052,3651,209.56,105.77,49.47,262.85,101.94,246.65,118.14,120.8,119.7,0.0,104.1,117.3,57.44518,13.560856,28.99397,72.05515,27.944845,67.61425,32.385757,33.919243,33.61038,29.230078,32.936485,False
0,371.189,Can't Fly,403,Dominus,6,7,2,3,1,0,820,2567,2251,2919,3895,172.43,92.94,104.99,214.02,156.35,281.04,89.32,173.8,191.2,2.0,213.0,152.4,46.557404,28.348095,25.094503,57.785458,42.214546,75.88292,24.117075,50.06914,55.081818,61.362064,43.90412,True
0,370.58313,blitzcloud,23,Octane,2,6,1,3,1,0,240,2854,2830,2932,3101,180.33,127.61,61.83,254.21,115.55,265.16,104.6,211.2,137.6,2.0,138.2,211.3,48.76815,16.721205,34.51064,68.75,31.25,71.71138,28.288618,60.940067,39.70338,39.876503,60.96892,False
0,218.873,Can't Fly,403,Dominus,3,3,3,1,1,2,890,2740,2763,2702,3853,110.39,63.29,44.59,140.07,78.19,178.68,39.58,111.2,101.0,1.0,126.8,85.4,50.574978,20.428827,28.996199,64.17576,35.824245,81.86567,18.134336,55.364697,50.28628,63.131687,42.51929,True
0,140.74597,Matrix,4284,Fennec,2,0,0,0,0,2,160,3087,2849,3331,3693,55.69,41.16,43.54,82.19,58.21,114.48,25.92,46.6,34.9,0.0,46.8,40.6,39.668068,31.013605,29.318327,58.53989,41.460117,81.53846,18.461536,36.194176,27.106798,36.349514,31.53398,False
0,386.92154,Cootie Queen,4284,Fennec,3,11,1,5,2,2,486,2908,2675,3107,3658,211.28,107.42,67.44,266.78,119.35,288.05,98.08,129.9,120.5,2.0,124.7,121.7,54.715904,17.465168,27.818924,69.09072,30.909279,74.59922,25.400772,36.092354,33.48059,34.64755,33.81401,False
0,361.873,[huiTre] tMd^,1568,Octane ZSR,1,8,0,5,0,0,270,3082,2956,3192,3682,190.75,114.43,52.78,248.6,109.36,237.11,120.85,189.2,170.8,1.0,153.6,206.3,53.28808,14.744664,31.96726,69.4491,30.550898,66.23924,33.760757,55.514805,50.115902,45.069103,60.53226,False
0,382.20078,TreeWithTalent,4284,Fennec,2,8,1,6,1,1,379,2924,2936,2882,3499,190.66,124.41,62.82,261.81,116.08,276.79,101.1,123.8,123.0,3.0,118.2,119.8,50.453835,16.623884,32.92228,69.28207,30.717932,73.24618,26.753817,35.145493,34.91838,33.555714,34.009937,False
